4	8
4	9
4	9
4	8
4	9
4	8
4	7
4	9
4	1
4	8
4	7
4	10
4	7
4	8
4	6
4	9
4	10
4	7
4	10
4	10
4	8
4	7
4	7
4	8
4	2
4	9
4	9
4	6
4	9
4	9
4	8
4	11
4	10
4	8
4	7
4	9
4	3
4	10
4	7
4	5
4	8
4	8
4	7
4	10
4	7
4	7
4	5
4	8
4	6
4	8
6	9
6	8
6	9
6	8
6	7
6	5
6	6
6	9
6	6
6	7
6	8
6	7
6	7
6	7
6	8
6	8
6	11
6	5
6	7
6	7
6	8
6	6
6	7
6	10
6	11
6	8
6	6
6	9
6	10
6	9
6	9
6	9
6	9
6	9
6	10
6	7
6	10
6	6
6	8
6	10
6	7
6	8
6	8
6	9
6	10
6	9
6	10
6	9
6	5
6	10
8	9
8	8
8	9
8	11
8	9
8	5
8	1
8	8
8	7
8	6
8	7
8	7
8	7
8	10
8	5
8	7
8	9
8	10
8	10
8	9
8	8
8	1
8	9
8	8
8	5
8	10
8	6
8	3
8	8
8	8
8	10
8	8
8	8
8	7
8	4
8	11
8	5
8	2
8	6
8	9
8	10
8	6
8	8
8	7
8	11
8	9
8	7
8	9
8	7
8	9
10	9
10	10
10	12
10	7
10	1
10	0
10	8
10	9
10	5
10	7
10	6
10	9
10	2
10	6
10	7
10	10
10	7
10	9
10	11
10	9
10	9
10	10
10	8
10	11
10	6
10	8
10	10
10	9
10	10
10	8
10	7
10	8
10	8
10	7
10	10
10	9
10	9
10	7
10	9
10	4
10	9
10	9
10	7
10	10
10	9
10	6
10	6
10	9
10	7
10	6
12	8
12	9
12	9
12	8
12	2
12	10
12	2
12	8
12	9
12	4
12	8
12	6
12	8
12	8
12	8
12	8
12	8
12	10
12	2
12	6
12	3
12	5
12	6
12	8
12	8
12	8
12	8
12	10
12	8
12	9
12	10
12	8
12	9
12	7
12	10
12	7
12	2
12	9
12	7
12	8
12	8
12	8
12	9
12	9
12	8
12	9
12	9
12	7
12	1
12	8
14	9
14	6
14	6
14	9
14	7
14	9
14	5
14	7
14	9
14	7
14	9
14	9
14	8
14	8
14	1
14	10
14	8
14	7
14	7
14	8
14	7
14	8
14	8
14	10
14	7
14	7
14	8
14	9
14	9
14	9
14	9
14	7
14	10
14	8
14	9
14	8
14	7
14	7
14	5
14	1
14	9
14	7
14	8
14	7
14	9
14	7
14	7
14	5
14	9
14	8
