1	18.48	18.92	18.88
2	16.14	16.02	14.34
3	9.14	10.24	10.38
4	6.7	6.22	4.36
5	5.2	4.98	3.06
6	3.18	2.98	2.62
7	3.16	3.54	3.04
8	3.42	2.68	2.12
9	3.52	3.54	1.6
10	3.12	2.96	2
11	2.84	2.54	2.14
12	2.78	2.18	1.9
13	3.26	3.06	1.9
14	2.54	2.38	1.74
15	2.46	2.9	1.9
16	2.54	2.3	1.6
17	2.94	2.24	2.12
18	2.16	2.88	1.76
19	2.54	2.4	1.46
20	3.18	2.4	1.46
21	2.36	2.18	1.66
22	2.54	2.54	1.32
23	2.78	2.38	1.88
24	2.9	2.74	1.76
25	2.34	2.48	1.44
26	2.6	2.34	1.78
27	2.74	1.86	1.52
28	2.26	2.12	1.54
29	1.84	2.16	1.78
30	1.56	2.24	1.54
31	1.96	1.86	1.66
32	1.673469388	1.56	1.34
33	1.191489362	1.28	1.14
