1	18.92	18.88	1
2	16.02	14.34	1
3	10.24	10.38	1
4	6.22	4.36	1
5	4.98	3.06	1
6	2.98	2.62	1
7	3.54	3.04	3.72
8	2.68	2.12	2.92
9	3.54	1.6	2.4
10	2.96	2	2.08
11	2.54	2.14	2.66
12	2.18	1.9	2.98
13	3.06	1.9	2.96
14	2.38	1.74	3.18
15	2.9	1.9	2.66
16	2.3	1.6	2.52
17	2.24	2.12	2.42
18	2.88	1.76	2.26
19	2.4	1.46	2.3
20	2.4	1.46	2.82
21	2.18	1.66	2.86
22	2.54	1.32	2.38
23	2.38	1.88	2.12
24	2.74	1.76	2.5
25	2.48	1.44	2.4
26	2.34	1.78	2.82
27	1.86	1.52	2.64
28	2.12	1.54	2.68
29	2.16	1.78	2.34
30	2.24	1.54	2.22
31	1.86	1.66	2.24
32	1.56	1.34	1.96
33	1.28	1.14	1.08
