1	18.92	18.92	18.88
2	15.2	16.24	13.6
3	13.82	10.04	10.38
4	11.2	5.54	4.7
5	10.92	4.68	3.32
6	8.14	3.56	3
7	7.88	3.24	1.98
8	5.9	3.08	2.76
9	5.92	2.92	2.04
10	4.62	3.04	2.1
11	3.92	2.62	2.3
12	4.28	2.38	2.08
13	4.36	2.8	2.2
14	3.22	2.52	1.9
15	2.98	1.78	1.8
16	3.48	2.36	1.66
17	3.38	2.5	2.04
18	2.84	2.52	1.94
19	4.22	1.94	1.86
20	2.74	2.32	1.84
21	3.5	2.04	1.82
22	3.3	2.66	1.52
23	3.34	2.74	1.54
24	2.54	2.6	1.46
25	2.76	2.7	1.66
26	2.84	1.86	1.58
27	2.88	2.08	1.6
28	2.32	1.84	1.68
29	2.72	2.44	1.48
30	2.24	1.98	1.4
31	2.76	2.02	1.4
32	2.16	1.94	1.62
33	1.2	1.26	1.08
